Distribution,Sample Size,Bin Count,CI_HDEM_AMISE_Lower Mean,CI_HDEM_AMISE_Lower CI Lower,CI_HDEM_AMISE_Lower CI Upper,CI_HDEM_AMISE_Mean Mean,CI_HDEM_AMISE_Mean CI Lower,CI_HDEM_AMISE_Mean CI Upper,CI_HDEM_AMISE_Upper Mean,CI_HDEM_AMISE_Upper CI Lower,CI_HDEM_AMISE_Upper CI Upper,CI_HDEM_IMSE_Lower Mean,CI_HDEM_IMSE_Lower CI Lower,CI_HDEM_IMSE_Lower CI Upper,CI_HDEM_IMSE_Mean Mean,CI_HDEM_IMSE_Mean CI Lower,CI_HDEM_IMSE_Mean CI Upper,CI_HDEM_IMSE_Upper Mean,CI_HDEM_IMSE_Upper CI Lower,CI_HDEM_IMSE_Upper CI Upper,CI_HDEM_MAE_Lower Mean,CI_HDEM_MAE_Lower CI Lower,CI_HDEM_MAE_Lower CI Upper,CI_HDEM_MAE_Mean Mean,CI_HDEM_MAE_Mean CI Lower,CI_HDEM_MAE_Mean CI Upper,CI_HDEM_MAE_Upper Mean,CI_HDEM_MAE_Upper CI Lower,CI_HDEM_MAE_Upper CI Upper,CI_HDEM_MIAE_Lower Mean,CI_HDEM_MIAE_Lower CI Lower,CI_HDEM_MIAE_Lower CI Upper,CI_HDEM_MIAE_Mean Mean,CI_HDEM_MIAE_Mean CI Lower,CI_HDEM_MIAE_Mean CI Upper,CI_HDEM_MIAE_Upper Mean,CI_HDEM_MIAE_Upper CI Lower,CI_HDEM_MIAE_Upper CI Upper,CI_HDEM_MISE_Lower Mean,CI_HDEM_MISE_Lower CI Lower,CI_HDEM_MISE_Lower CI Upper,CI_HDEM_MISE_Mean Mean,CI_HDEM_MISE_Mean CI Lower,CI_HDEM_MISE_Mean CI Upper,CI_HDEM_MISE_Upper Mean,CI_HDEM_MISE_Upper CI Lower,CI_HDEM_MISE_Upper CI Upper,CI_HDEM_MSE_Lower Mean,CI_HDEM_MSE_Lower CI Lower,CI_HDEM_MSE_Lower CI Upper,CI_HDEM_MSE_Mean Mean,CI_HDEM_MSE_Mean CI Lower,CI_HDEM_MSE_Mean CI Upper,CI_HDEM_MSE_Upper Mean,CI_HDEM_MSE_Upper CI Lower,CI_HDEM_MSE_Upper CI Upper,CI_HDEM_Normalized MAE_Lower Mean,CI_HDEM_Normalized MAE_Lower CI Lower,CI_HDEM_Normalized MAE_Lower CI Upper,CI_HDEM_Normalized MAE_Mean Mean,CI_HDEM_Normalized MAE_Mean CI Lower,CI_HDEM_Normalized MAE_Mean CI Upper,CI_HDEM_Normalized MAE_Upper Mean,CI_HDEM_Normalized MAE_Upper CI Lower,CI_HDEM_Normalized MAE_Upper CI Upper,CI_HDEM_Normalized MSE_Lower Mean,CI_HDEM_Normalized MSE_Lower CI Lower,CI_HDEM_Normalized MSE_Lower CI Upper,CI_HDEM_Normalized MSE_Mean Mean,CI_HDEM_Normalized MSE_Mean CI Lower,CI_HDEM_Normalized MSE_Mean CI Upper,CI_HDEM_Normalized MSE_Upper Mean,CI_HDEM_Normalized MSE_Upper CI Lower,CI_HDEM_Normalized MSE_Upper CI Upper,CI_Hist_AMISE_Lower Mean,CI_Hist_AMISE_Lower CI Lower,CI_Hist_AMISE_Lower CI Upper,CI_Hist_AMISE_Mean Mean,CI_Hist_AMISE_Mean CI Lower,CI_Hist_AMISE_Mean CI Upper,CI_Hist_AMISE_Upper Mean,CI_Hist_AMISE_Upper CI Lower,CI_Hist_AMISE_Upper CI Upper,CI_Hist_IMSE_Lower Mean,CI_Hist_IMSE_Lower CI Lower,CI_Hist_IMSE_Lower CI Upper,CI_Hist_IMSE_Mean Mean,CI_Hist_IMSE_Mean CI Lower,CI_Hist_IMSE_Mean CI Upper,CI_Hist_IMSE_Upper Mean,CI_Hist_IMSE_Upper CI Lower,CI_Hist_IMSE_Upper CI Upper,CI_Hist_MAE_Lower Mean,CI_Hist_MAE_Lower CI Lower,CI_Hist_MAE_Lower CI Upper,CI_Hist_MAE_Mean Mean,CI_Hist_MAE_Mean CI Lower,CI_Hist_MAE_Mean CI Upper,CI_Hist_MAE_Upper Mean,CI_Hist_MAE_Upper CI Lower,CI_Hist_MAE_Upper CI Upper,CI_Hist_MIAE_Lower Mean,CI_Hist_MIAE_Lower CI Lower,CI_Hist_MIAE_Lower CI Upper,CI_Hist_MIAE_Mean Mean,CI_Hist_MIAE_Mean CI Lower,CI_Hist_MIAE_Mean CI Upper,CI_Hist_MIAE_Upper Mean,CI_Hist_MIAE_Upper CI Lower,CI_Hist_MIAE_Upper CI Upper,CI_Hist_MISE_Lower Mean,CI_Hist_MISE_Lower CI Lower,CI_Hist_MISE_Lower CI Upper,CI_Hist_MISE_Mean Mean,CI_Hist_MISE_Mean CI Lower,CI_Hist_MISE_Mean CI Upper,CI_Hist_MISE_Upper Mean,CI_Hist_MISE_Upper CI Lower,CI_Hist_MISE_Upper CI Upper,CI_Hist_MSE_Lower Mean,CI_Hist_MSE_Lower CI Lower,CI_Hist_MSE_Lower CI Upper,CI_Hist_MSE_Mean Mean,CI_Hist_MSE_Mean CI Lower,CI_Hist_MSE_Mean CI Upper,CI_Hist_MSE_Upper Mean,CI_Hist_MSE_Upper CI Lower,CI_Hist_MSE_Upper CI Upper,CI_Hist_Normalized MAE_Lower Mean,CI_Hist_Normalized MAE_Lower CI Lower,CI_Hist_Normalized MAE_Lower CI Upper,CI_Hist_Normalized MAE_Mean Mean,CI_Hist_Normalized MAE_Mean CI Lower,CI_Hist_Normalized MAE_Mean CI Upper,CI_Hist_Normalized MAE_Upper Mean,CI_Hist_Normalized MAE_Upper CI Lower,CI_Hist_Normalized MAE_Upper CI Upper,CI_Hist_Normalized MSE_Lower Mean,CI_Hist_Normalized MSE_Lower CI Lower,CI_Hist_Normalized MSE_Lower CI Upper,CI_Hist_Normalized MSE_Mean Mean,CI_Hist_Normalized MSE_Mean CI Lower,CI_Hist_Normalized MSE_Mean CI Upper,CI_Hist_Normalized MSE_Upper Mean,CI_Hist_Normalized MSE_Upper CI Lower,CI_Hist_Normalized MSE_Upper CI Upper
beta,50,10,1.2484333758296082e-05,,,2.1256607747746332e-05,,,3.0028881737196587e-05,,,8.827757059087301e-05,,,0.0001503069148345,,,0.0002123362590782,,,0.005361043432642,,,0.0071656677111293,,,0.0089702919896166,,,0.0003666836389684,,,0.0004854996898401,,,0.0006043157407118,,,6.015233249228847e-06,,,1.0176641440050534e-05,,,1.433804963087222e-05,,,8.827757059087301e-05,,,0.0001503069148345,,,0.0002123362590782,,,0.0001072208686528,,,0.0001433133542225,,,0.0001794058397923,,,1.7655514118174591e-06,,,3.006138296690788e-06,,,4.2467251815641164e-06,,,1.217081857238841e-34,,,3.1618476638547427e-34,,,5.106613470470644e-34,,,8.606068345127024e-34,,,2.2357639241905325e-33,,,3.6109210138683626e-33,,,2.1248972106617146e-17,,,2.990663272584016e-17,,,3.8564293345063167e-17,,,1.4603808550137497e-18,,,2.0358276717543905e-18,,,2.6112744884950317e-18,,,6.047375760349931e-35,,,1.5243264171288256e-34,,,2.443915258222658e-34,,,8.606068345127024e-34,,,2.2357639241905325e-33,,,3.6109210138683626e-33,,,4.2497944213234283e-19,,,5.981326545168031e-19,,,7.712858669012633e-19,,,1.7212136690254044e-35,,,4.4715278483810636e-35,,,7.221842027736724e-35,,
beta,50,15,1.6890650878917572e-05,,,2.438122499542053e-05,,,3.187179911192349e-05,,,0.0001194349377513,,,0.0001724012952789,,,0.0002253676528065,,,0.0066934385065782,,,0.0083353378076616,,,0.009977237108745,,,0.0002901994314369,,,0.0003770321942393,,,0.0004638649570416,,,5.573969841184039e-06,,,7.686952122293758e-06,,,9.799934403403475e-06,,,0.0001194349377513,,,0.0001724012952789,,,0.0002253676528065,,,0.0001338687701315,,,0.0001667067561532,,,0.0001995447421749,,,2.3886987550274277e-06,,,3.448025905579362e-06,,,4.507353056131297e-06,,,1.5530542825730447e-34,,,2.317394540609233e-34,,,3.0817347986454222e-34,,,1.0981752147582079e-33,,,1.6386453943494727e-33,,,2.1791155739407374e-33,,,2.2223201124767333e-17,,,2.6830389761774614e-17,,,3.1437578398781903e-17,,,9.987479165172834e-19,,,1.2104503828428996e-18,,,1.422152849168516e-18,,,5.112941381878327e-35,,,7.326163165406955e-35,,,9.539384948935583e-35,,,1.0981752147582079e-33,,,1.6386453943494727e-33,,,2.1791155739407374e-33,,,4.444640224953469e-19,,,5.3660779523549245e-19,,,6.287515679756379e-19,,,2.1963504295164168e-35,,,3.2772907886989457e-35,,,4.358231147881476e-35,,
beta,50,20,1.1212314024404018e-05,,,1.9190464887571036e-05,,,2.7168615750738048e-05,,,7.928303279449109e-05,,,0.0001356970785612,,,0.0001921111243279,,,0.0061195478219223,,,0.0076383047362684,,,0.0091570616506146,,,0.0001966358732713,,,0.0002413254499633,,,0.0002860150266554,,,2.6780492714751827e-06,,,4.196486265435682e-06,,,5.714923259396181e-06,,,7.928303279449109e-05,,,0.0001356970785612,,,0.0001921111243279,,,0.0001223909564384,,,0.0001527660947253,,,0.0001831412330122,,,1.5856606558898223e-06,,,2.7139415712247637e-06,,,3.842222486559704e-06,,,1.803994335962485e-34,,,3.1031183947673152e-34,,,4.402242453572144e-34,,,1.2756166281811968e-33,,,2.194236059764683e-33,,,3.112855491348169e-33,,,1.920154053312504e-17,,,2.8796409701215e-17,,,3.839127886930496e-17,,,6.170072204466791e-19,,,9.244196241100329e-19,,,1.2318320277733866e-18,,,4.082557161880591e-35,,,7.075148443090228e-35,,,1.0067739724299862e-34,,,1.2756166281811968e-33,,,2.194236059764683e-33,,,3.112855491348169e-33,,,3.8403081066250073e-19,,,5.759281940242999e-19,,,7.678255773860992e-19,,,2.551233256362393e-35,,,4.3884721195293647e-35,,,6.225710982696336e-35,,
beta,50,25,1.2573665368219654e-05,,,1.8180116560367107e-05,,,2.378656775251456e-05,,,8.890924046238562e-05,,,0.0001285528370259,,,0.0001681964335895,,,0.0066026367419775,,,0.0080493419263301,,,0.0094960471106828,,,0.0001642385651536,,,0.0001977566453791,,,0.0002312747256046,,,2.263425179006548e-06,,,3.114709325771696e-06,,,3.965993472536843e-06,,,8.890924046238562e-05,,,0.0001285528370259,,,0.0001681964335895,,,0.0001320527348395,,,0.0001609868385266,,,0.0001899209422136,,,1.7781848092477127e-06,,,2.571056740519486e-06,,,3.36392867179126e-06,,,2.3898700155969463e-34,,,4.233478083446558e-34,,,6.07708615129617e-34,,,1.6898932941830016e-33,,,2.9935210608096905e-33,,,4.2971488274363787e-33,,,3.0024471740113636e-17,,,3.581857033196912e-17,,,4.1612668923824594e-17,,,7.342863180412166e-19,,,8.852508478826388e-19,,,1.036215377724061e-18,,,4.4116622020627055e-35,,,7.171780191982113e-35,,,9.931898181901523e-35,,,1.6898932941830016e-33,,,2.9935210608096905e-33,,,4.2971488274363787e-33,,,6.004894348022728e-19,,,7.163714066393822e-19,,,8.322533784764917e-19,,,3.3797865883660025e-35,,,5.987042121619381e-35,,,8.594297654872757e-35,,
beta,50,30,1.2008381608148528e-05,,,1.558098893990651e-05,,,1.915359627166449e-05,,,8.491208066197645e-05,,,0.00011017422937,,,0.000135436378078,,,0.0068603666295551,,,0.007976318828221,,,0.009092271026887,,,0.0001495452661904,,,0.0001772626306575,,,0.0002049799951245,,,1.856983757583094e-06,,,2.4349672527027457e-06,,,3.0129507478223978e-06,,,8.491208066197645e-05,,,0.00011017422937,,,0.000135436378078,,,0.0001372073325911,,,0.0001595263765644,,,0.0001818454205377,,,1.6982416132395288e-06,,,2.2034845874000984e-06,,,2.708727561560668e-06,,,1.5518784082005564e-34,,,2.6747635615876113e-34,,,3.7976487149746664e-34,,,1.0973437460155984e-33,,,1.8913434524692817e-33,,,2.685343158922965e-33,,,1.9329990283281652e-17,,,2.5465740627339528e-17,,,3.160149097139741e-17,,,4.2488569599014944e-19,,,5.729239133173843e-19,,,7.209621306446192e-19,,,2.38132840399176e-35,,,4.243257927261675e-35,,,6.105187450531588e-35,,,1.0973437460155984e-33,,,1.8913434524692817e-33,,,2.685343158922965e-33,,,3.8659980566563303e-19,,,5.093148125467905e-19,,,6.32029819427948e-19,,,2.1946874920311972e-35,,,3.782686904938564e-35,,,5.37068631784593e-35,,
beta,50,50,9.837837655954256e-06,,,1.1567446131789873e-05,,,1.329705460762549e-05,,,6.956401718737625e-05,,,8.179419600798718e-05,,,9.402437482859812e-05,,,0.0066444904974451,,,0.0071811031792585,,,0.0077177158610719,,,8.467015537075966e-05,,,9.055748666300694e-05,,,9.644481795525422e-05,,,9.028453235778416e-07,,,1.0280270046916389e-06,,,1.1532086858054357e-06,,,6.956401718737625e-05,,,8.179419600798718e-05,,,9.402437482859812e-05,,,0.0001328898099489,,,0.0001436220635851,,,0.0001543543172214,,,1.3912803437475249e-06,,,1.6358839201597436e-06,,,1.8804874965719624e-06,,,2.306109198014064e-34,,,3.71148553060688e-34,,,5.116861863199697e-34,,,1.6306654520724153e-33,,,2.624416586967877e-33,,,3.618167721863338e-33,,,2.210432414468424e-17,,,2.8879676428061884e-17,,,3.5655028711439534e-17,,,2.822943878775764e-19,,,3.626929235888387e-19,,,4.43091459300101e-19,,,2.1434679568469436e-35,,,3.2336004979936503e-35,,,4.3237330391403557e-35,,,1.6306654520724153e-33,,,2.624416586967877e-33,,,3.618167721863338e-33,,,4.420864828936848e-19,,,5.7759352856123775e-19,,,7.131005742287908e-19,,,3.261330904144831e-35,,,5.248833173935754e-35,,,7.236335443726676e-35,,
beta,50,100,6.989275616673169e-06,,,8.041493284101693e-06,,,9.093710951530216e-06,,,4.942164184131387e-05,,,5.686194432054388e-05,,,6.430224679977388e-05,,,0.0059448151330385,,,0.0062394193206608,,,0.0065340235082832,,,3.8216131586648615e-05,,,4.078891558422069e-05,,,4.336169958179276e-05,,,3.264774199410621e-07,,,3.708890844205023e-07,,,4.153007488999425e-07,,,4.942164184131387e-05,,,5.686194432054388e-05,,,6.430224679977388e-05,,,0.0001188963026607,,,0.0001247883864132,,,0.0001306804701656,,,9.884328368262773e-07,,,1.1372388864108774e-06,,,1.2860449359954777e-06,,,3.287888048017853e-34,,,6.445903276340977e-34,,,9.603918504664099e-34,,,2.324887934535626e-33,,,4.5579419175732895e-33,,,6.790995900610953e-33,,,2.0369753592585278e-17,,,2.934805176657562e-17,,,3.832634994056597e-17,,,1.3320838903005976e-19,,,1.9187277714396465e-19,,,2.505371652578695e-19,,,1.502294762010338e-35,,,2.9511327099283365e-35,,,4.399970657846335e-35,,,2.324887934535626e-33,,,4.5579419175732895e-33,,,6.790995900610953e-33,,,4.0739507185170563e-19,,,5.869610353315124e-19,,,7.665269988113193e-19,,,4.6497758690712526e-35,,,9.11588383514658e-35,,,1.3581991801221904e-34,,
beta,100,10,1.7524689008685688e-06,,,1.0672257473322794e-05,,,1.959204604577702e-05,,,1.752468900868568e-05,,,0.0001067225747332,,,0.0001959204604577,,,0.0031418931968851,,,0.0053181506014206,,,0.0074944080059561,,,0.0002339896525996,,,0.0003592626724985,,,0.0004845356923974,,,1.6396388666357292e-06,,,6.924010332669086e-06,,,1.220838179870244e-05,,,1.752468900868568e-05,,,0.0001067225747332,,,0.0001959204604577,,,3.1418931968851135e-05,,,5.318150601420611e-05,,,7.494408005956108e-05,,,1.75246890086857e-07,,,1.0672257473322794e-06,,,1.959204604577702e-06,,,1.2048678722703364e-34,,,2.0208120868036884e-34,,,2.8367563013370407e-34,,,1.2048678722703363e-33,,,2.0208120868036882e-33,,,2.8367563013370402e-33,,,2.6749652251272728e-17,,,3.3358732443033995e-17,,,3.9967812634795256e-17,,,1.8285324769903174e-18,,,2.3314453074147785e-18,,,2.83435813783924e-18,,,7.65881539376031e-35,,,1.4411417491143442e-34,,,2.1164019588526572e-34,,,1.2048678722703363e-33,,,2.0208120868036882e-33,,,2.8367563013370402e-33,,,2.674965225127274e-19,,,3.3358732443034e-19,,,3.996781263479526e-19,,,1.2048678722703365e-35,,,2.0208120868036888e-35,,,2.836756301337041e-35,,
beta,100,15,3.771710867777446e-06,,,7.063779439062208e-06,,,1.035584801034697e-05,,,3.771710867777447e-05,,,7.06377943906221e-05,,,0.0001035584801034,,,0.0026109956858496,,,0.0041554913266285,,,0.0056999869674073,,,0.0001176671696712,,,0.0001879966833194,,,0.0002583261969676,,,1.7157001296653769e-06,,,3.146529891865286e-06,,,4.577359654065195e-06,,,3.771710867777447e-05,,,7.06377943906221e-05,,,0.0001035584801034,,,2.6109956858496937e-05,,,4.155491326628537e-05,,,5.6999869674073805e-05,,,3.771710867777448e-07,,,7.06377943906221e-07,,,1.0355848010346971e-06,,,6.0189062205852e-35,,,1.0973186475848819e-34,,,1.5927466731112434e-34,,,6.0189062205852e-34,,,1.0973186475848816e-33,,,1.5927466731112433e-33,,,1.5914312501332875e-17,,,2.2424192132793528e-17,,,2.893407176425418e-17,,,7.056445933876034e-19,,,1.051853385397068e-18,,,1.398062177406533e-18,,,2.6516508947554595e-35,,,5.183860538312321e-35,,,7.716070181869181e-35,,,6.0189062205852e-34,,,1.0973186475848816e-33,,,1.5927466731112433e-33,,,1.5914312501332876e-19,,,2.2424192132793527e-19,,,2.8934071764254183e-19,,,6.018906220585201e-36,,,1.0973186475848816e-35,,,1.5927466731112428e-35,,
beta,100,20,2.7767187262637474e-06,,,4.974089349403882e-06,,,7.171459972544016e-06,,,2.776718726263748e-05,,,4.974089349403883e-05,,,7.171459972544018e-05,,,0.0033106132690521,,,0.00494461834369,,,0.0065786234183279,,,0.0001162417726924,,,0.0001742853415943,,,0.0002323289104962,,,9.86089203887821e-07,,,1.7597204570201169e-06,,,2.5333517101524127e-06,,,2.776718726263748e-05,,,4.974089349403883e-05,,,7.171459972544018e-05,,,3.310613269052136e-05,,,4.944618343690056e-05,,,6.578623418327975e-05,,,2.7767187262637466e-07,,,4.974089349403882e-07,,,7.171459972544017e-07,,,1.099081375372035e-34,,,1.3910179486613716e-34,,,1.682954521950708e-34,,,1.0990813753720353e-33,,,1.3910179486613716e-33,,,1.6829545219507082e-33,,,2.3295413368322606e-17,,,2.5699928296596402e-17,,,2.8104443224870195e-17,,,8.0291288609350945e-19,,,9.03929997748221e-19,,,1.0049471094029329e-18,,,3.865168284885019e-35,,,4.860257760435556e-35,,,5.855347235986093e-35,,,1.0990813753720353e-33,,,1.3910179486613716e-33,,,1.6829545219507082e-33,,,2.32954133683226e-19,,,2.56999282965964e-19,,,2.8104443224870193e-19,,,1.0990813753720351e-35,,,1.3910179486613715e-35,,,1.682954521950708e-35,,
beta,100,25,3.6938109343153073e-06,,,5.332061682354315e-06,,,6.970312430393322e-06,,,3.693810934315307e-05,,,5.332061682354315e-05,,,6.970312430393323e-05,,,0.0044765414657363,,,0.0052873749322067,,,0.0060982083986772,,,0.0001282554550865,,,0.0001500843314828,,,0.0001719132078791,,,1.0677308146804168e-06,,,1.5064626438051607e-06,,,1.945194472929905e-06,,,3.693810934315307e-05,,,5.332061682354315e-05,,,6.970312430393323e-05,,,4.47654146573632e-05,,,5.287374932206795e-05,,,6.09820839867727e-05,,,3.693810934315307e-07,,,5.332061682354315e-07,,,6.970312430393323e-07,,,3.86858620010093e-35,,,1.2002154672178206e-34,,,2.013572314425548e-34,,,3.8685862001009316e-34,,,1.2002154672178206e-33,,,2.013572314425548e-33,,,1.1665987125200382e-17,,,1.9970136655445004e-17,,,2.8274286185689625e-17,,,3.262732428592172e-19,,,5.693065624747536e-19,,,8.123398820902898e-19,,,1.0547857764457984e-35,,,3.4276214989241555e-35,,,5.800457221402513e-35,,,3.8685862001009316e-34,,,1.2002154672178206e-33,,,2.013572314425548e-33,,,1.166598712520038e-19,,,1.9970136655445006e-19,,,2.8274286185689627e-19,,,3.868586200100932e-36,,,1.2002154672178204e-35,,,2.0135723144255477e-35,,
beta,100,30,3.178088996044645e-06,,,4.100578658113826e-06,,,5.023068320183006e-06,,,3.178088996044645e-05,,,4.1005786581138254e-05,,,5.0230683201830055e-05,,,0.0042204077735275,,,0.0048672084337269,,,0.0055140090939263,,,9.786893171454274e-05,,,0.0001129490769705,,,0.0001280292222266,,,7.36818697467691e-07,,,9.500665329054258e-07,,,1.1633143683431603e-06,,,3.178088996044645e-05,,,4.1005786581138254e-05,,,5.0230683201830055e-05,,,4.220407773527554e-05,,,4.867208433726948e-05,,,5.514009093926342e-05,,,3.178088996044645e-07,,,4.100578658113826e-07,,,5.023068320183006e-07,,,8.689285562613354e-35,,,1.7855978614602696e-34,,,2.702267166659204e-34,,,8.689285562613357e-34,,,1.7855978614602698e-33,,,2.7022671666592046e-33,,,1.79010916951845e-17,,,2.5511999920032247e-17,,,3.312290814487999e-17,,,4.1354539365118273e-19,,,5.936421127031806e-19,,,7.737388317551781e-19,,,1.9499948162448268e-35,,,4.176098957123543e-35,,,6.402203098002257e-35,,,8.689285562613357e-34,,,1.7855978614602698e-33,,,2.7022671666592046e-33,,,1.7901091695184496e-19,,,2.551199992003224e-19,,,3.3122908144879985e-19,,,8.689285562613357e-36,,,1.78559786146027e-35,,,2.7022671666592044e-35,,
beta,100,50,3.5647550254584595e-06,,,4.3079595589665045e-06,,,5.051164092474549e-06,,,3.56475502545846e-05,,,4.307959558966505e-05,,,5.05116409247455e-05,,,0.004760093933065,,,0.0052256955326932,,,0.0056912971323215,,,6.616756435993994e-05,,,7.249770546823641e-05,,,7.882784657653287e-05,,,4.887532042525386e-07,,,6.001373698940713e-07,,,7.115215355356041e-07,,,3.56475502545846e-05,,,4.307959558966505e-05,,,5.05116409247455e-05,,,4.760093933065014e-05,,,5.22569553269327e-05,,,5.691297132321527e-05,,,3.56475502545846e-07,,,4.307959558966505e-07,,,5.051164092474549e-07,,,7.653186757164406e-35,,,1.3243717447889591e-34,,,1.8834248138614766e-34,,,7.653186757164408e-34,,,1.3243717447889593e-33,,,1.8834248138614776e-33,,,1.3760483550050694e-17,,,2.057728987203689e-17,,,2.7394096194023085e-17,,,1.8868098611400549e-19,,,2.8200430899326385e-19,,,3.7532763187252234e-19,,,1.0460775048205609e-35,,,1.807713560321792e-35,,,2.5693496158230223e-35,,,7.653186757164408e-34,,,1.3243717447889593e-33,,,1.8834248138614776e-33,,,1.3760483550050689e-19,,,2.0577289872036884e-19,,,2.739409619402308e-19,,,7.653186757164405e-36,,,1.3243717447889588e-35,,,1.883424813861477e-35,,
beta,100,100,2.228439278539663e-06,,,2.6104111251061976e-06,,,2.9923829716727323e-06,,,2.228439278539662e-05,,,2.6104111251061968e-05,,,2.9923829716727315e-05,,,0.0037663958981918,,,0.0041017419837535,,,0.0044370880693151,,,2.679403815025975e-05,,,2.9169893777225765e-05,,,3.1545749404191775e-05,,,1.5780838791923608e-07,,,1.8573685163320602e-07,,,2.1366531534717586e-07,,,2.228439278539662e-05,,,2.6104111251061968e-05,,,2.9923829716727315e-05,,,3.766395898191886e-05,,,4.10174198375351e-05,,,4.4370880693151344e-05,,,2.2284392785396626e-07,,,2.610411125106197e-07,,,2.992382971672732e-07,,,1.1511366276534411e-34,,,1.713087602142603e-34,,,2.275038576631765e-34,,,1.1511366276534415e-33,,,1.7130876021426032e-33,,,2.275038576631765e-33,,,1.4641166967175348e-17,,,2.143597799264541e-17,,,2.8230789018115467e-17,,,1.0516452485478832e-19,,,1.4991662012130754e-19,,,1.9466871538782677e-19,,,8.388184741691368e-36,,,1.1915617408685969e-35,,,1.5443050075680573e-35,,,1.1511366276534415e-33,,,1.7130876021426032e-33,,,2.275038576631765e-33,,,1.4641166967175353e-19,,,2.1435977992645412e-19,,,2.8230789018115467e-19,,,1.1511366276534414e-35,,,1.7130876021426033e-35,,,2.2750385766317653e-35,,
beta,500,10,1.0963951139103684e-07,,,6.607642802806037e-07,,,1.2118890491701706e-06,,,2.4516140049022103e-06,,,1.477513847811154e-05,,,2.7098662951320868e-05,,,0.0011159817736718,,,0.0019666941717275,,,0.0028174065697832,,,9.022479492752753e-05,,,0.0001549557229668,,,0.0002196866510062,,,2.0914255866463506e-07,,,1.1553233156029074e-06,,,2.10150407254118e-06,,,2.4516140049022103e-06,,,1.477513847811154e-05,,,2.7098662951320868e-05,,,2.2319635473437526e-06,,,3.933388343455108e-06,,,5.634813139566464e-06,,,4.9032280098044204e-09,,,2.955027695622308e-08,,,5.419732590264173e-08,,,3.208244992281739e-35,,,4.5098583076259805e-35,,,5.811471622970222e-35,,,7.173853891215257e-34,,,1.0084349744743855e-33,,,1.299484559827245e-33,,,1.7059459235364174e-17,,,2.0660556598883773e-17,,,2.426165396240337e-17,,,1.3703107377090281e-18,,,1.6398198649634431e-18,,,1.909328992217858e-18,,,5.721209676530034e-35,,,8.015149105457361e-35,,,1.0309088534384688e-34,,,7.173853891215257e-34,,,1.0084349744743855e-33,,,1.299484559827245e-33,,,3.4118918470728344e-20,,,4.132111319776754e-20,,,4.8523307924806737e-20,,,1.4347707782430516e-36,,,2.0168699489487708e-36,,,2.5989691196544895e-36,,
beta,500,15,5.0184599555517615e-08,,,4.1052342715413733e-07,,,7.708622547527571e-07,,,1.12216176029743e-06,,,9.17958289472834e-06,,,1.7237004029159254e-05,,,0.0006337707834288,,,0.0013412905394009,,,0.002048810295373,,,3.32732848672171e-05,,,7.378577977526735e-05,,,0.0001142982746833,,,5.401505113137164e-08,,,5.088975095391457e-07,,,9.637799679469196e-07,,,1.12216176029743e-06,,,9.17958289472834e-06,,,1.7237004029159254e-05,,,1.2675415668577445e-06,,,2.682581078801894e-06,,,4.097620590746044e-06,,,2.2443235205948607e-09,,,1.835916578945668e-08,,,3.4474008058318514e-08,,,5.123954716600738e-35,,,5.892735952945406e-35,,,6.661517189290074e-35,,,1.1457511059949917e-33,,,1.317655816424293e-33,,,1.4895605268535938e-33,,,2.212834055382092e-17,,,2.3982552055379366e-17,,,2.5836763556937813e-17,,,1.185904261731681e-18,,,1.2978264542233884e-18,,,1.409748646715096e-18,,,6.148432368993687e-35,,,7.133428752963066e-35,,,8.118425136932447e-35,,,1.1457511059949917e-33,,,1.317655816424293e-33,,,1.4895605268535938e-33,,,4.425668110764182e-20,,,4.7965104110758724e-20,,,5.1673527113875615e-20,,,2.291502211989984e-36,,,2.635311632848586e-36,,,2.979121053707188e-36,,
beta,500,20,2.1029773710152666e-07,,,3.840995383180086e-07,,,5.579013395344906e-07,,,4.702400356733934e-06,,,8.588726778053527e-06,,,1.247505319937312e-05,,,0.0011628484272977,,,0.0015067526785864,,,0.001850656929875,,,4.352220062290243e-05,,,5.93874398541632e-05,,,7.525267908542397e-05,,,1.7279102316357874e-07,,,3.427356005890265e-07,,,5.126801780144742e-07,,,4.702400356733934e-06,,,8.588726778053527e-06,,,1.247505319937312e-05,,,2.3256968545955453e-06,,,3.0135053571728336e-06,,,3.701313859750122e-06,,,9.404800713467863e-09,,,1.7177453556107052e-08,,,2.495010639874624e-08,,,3.7906817533075615e-35,,,5.399291463550073e-35,,,7.007901173792582e-35,,,8.476222081463796e-34,,,1.2073182742832293e-33,,,1.5670143404200788e-33,,,1.9502546965196757e-17,,,2.342527213872181e-17,,,2.7347997312246864e-17,,,7.422955389652408e-19,,,9.094876312582309e-19,,,1.0766797235512213e-18,,,3.2325180219135376e-35,,,4.700289146283676e-35,,,6.168060270653812e-35,,,8.476222081463796e-34,,,1.2073182742832293e-33,,,1.5670143404200788e-33,,,3.9005093930393504e-20,,,4.6850544277443624e-20,,,5.469599462449373e-20,,,1.6952444162927593e-36,,,2.4146365485664585e-36,,,3.134028680840157e-36,,
